Table name,Column name,Full column name,Description (English),Data type,Character max length,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,OccNo,Occurrence number,"The TSB occurrence number; a unique identifier for the occurrence. The ""P"" is to identify Pipeline mode followed by 2 digits to identify the year of the occurrence. The letter after the year is to identify the TSB region responsible for investigating the occurrence. This is followed by the sequential number assigned by the PODS application.",nvarchar,8,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,OccID,Occurrence identification number,The occurrence identification number; a unique identifier for the occurrence assigned by PODS.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,OccClassID,Classification identification number,A system-generated number for the purposes of database administration.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,OccClassID_DisplayEng,Classification (English),"The TSB investigation classification of the occurrence, in English. See http://www.tsb.gc.ca/eng/lois-acts/evenements-occurrences.asp.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,OccClassID_DisplayFre,Classification (French),"The TSB investigation classification of the occurrence, in French. See http://www.bst.gc.ca/fra/lois-acts/evenements-occurrences.asp.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,OccTypeID,Occurrence type identification number,A system-generated number for the purposes of database administration.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,OccTypeID_DisplayEng,Occurrence type (English),"Identifies whether the occurrence was an accident or reportable incident, in English. See http://www.tsb.gc.ca/eng/lois-acts/evenements-occurrences.asp.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,OccTypeID_DisplayFre,Occurrence type (French),"Identifies whether the occurrence was an accident or reportable incident, in French. See http://www.bst.gc.ca/fra/lois-acts/evenements-occurrences.asp.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,OccDate,Occurrence date,The date of the occurrence. Date format is YYYY-MM-DD.,date,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,OccTime,Occurrence time,The time of the occurrence. Time format is hh:mm (24-hour clock).,time,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,TimeZoneID,Occurrence time zone identification number,A system-generated number for the purposes of database administration.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,TimeZoneID_DisplayEng,Occurrence time zone (English),"The time zone of the occurrence, in English, as reported by the pipeline operator. The time zone may or may not correspond to the occurrence location time zone.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,TimeZoneID_DisplayFre,Occurrence time zone (French),"The time zone of the occurrence, in French, as reported by the pipeline operator. The time zone may or may not correspond to the occurrence location time zone.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ProvinceID,Province identification number,A system-generated number for the purposes of database administration.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ProvinceID_DisplayEng,Province (English),"The province of the occurrence location, in English.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ProvinceID_DisplayFre,Province (French),"The province of the occurrence location, in French.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,LocationID,Nearest location identification number,A system-generated number for the purposes of database administration.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,LocationID_DisplayEng,Nearest location (English),"The town, city, or village nearest to the occurrence, in English.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,LocationID_DisplayFre,Nearest location (French),"The town, city, or village nearest to the occurrence, in French.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,NearestLocationLongitude,Nearest location longitude,"The longitude of the town, city, or village nearest to the occurrence.",nvarchar,50,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,NearestLocationLatitude,Nearest location latitude,"The latitude of the town, city, or village nearest to the occurrence.",nvarchar,50,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,RegionOccID,Region of occurrence identification number,A system-generated number for the purposes of database administration.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,RegionOccID_DisplayEng,Region of occurrence (English),"The administrative region of the occurrence, in English.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,RegionOccID_DisplayFre,Region of occurrence (French),"The administrative region of the occurrence, in French.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,RegionRespID,Region of responsibility identification number,A system-generated number for the purposes of database administration.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,RegionRespID_DisplayEng,Region of responsibility (English),"The administrative region of the TSB responsible for investigating the occurrence, in English.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,RegionRespID_DisplayFre,Region of responsibility (French),"The administrative region of the TSB responsible for investigating the occurrence, in French.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,PipelineOperatorID,Pipeline operator identification number,A system-generated number for the purposes of database administration.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,PipelineOperatorID_DisplayEng,Pipeline operator (English),The English name of the pipeline operator.,nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,PipelineOperatorID_DisplayFre,Pipeline operator (French),The French name of the pipeline operator.,nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,FacilityNameID,Facility name identification number,A system-generated number for the purposes of database administration.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,FacilityNameID_DisplayEng,Facility name (English),"The name of the facility, in English.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,FacilityNameID_DisplayFre,Facility name (French),"The name of the facility, in French.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,FacilityTypeID,Facility type identification number,A system-generated number for the purposes of database administration.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,FacilityTypeID_DisplayEng,Facility type (English),"The type of facility (compressor station, gas processing plant, pump station, etc.), in English.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,FacilityTypeID_DisplayFre,Facility type (French),"The type of facility (compressor station, gas processing plant, pump station, etc.), in French.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,PipelineNameID,Pipeline name identification number,A system-generated number for the purposes of database administration.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,PipelineNameID_DisplayEng,Pipeline name (English),"The name of the pipeline, in English.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,PipelineNameID_DisplayFre,Pipeline name (French),"The name of the pipeline, in French.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,PipelineTypeID,Pipeline type identification number,A system-generated number for the purposes of database administration.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,PipelineTypeID_DisplayEng,Pipeline type (English),"The type of pipeline, in English.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,PipelineTypeID_DisplayFre,Pipeline type (French),"The type of pipeline, in French.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ComponentID,Component identification number,A system-generated number for the purposes of database administration.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ComponentID_DisplayEng,Component (English),"The equipment or component of the pipeline that was affected, in English.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ComponentID_DisplayFre,Component (French),"The equipment or component of the pipeline that was affected, in French.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ProductCarriedID,Product carried identification number,A system-generated number for the purposes of database administration.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ProductCarriedID_DisplayEng,Product carried (English),"The product carried by the pipeline/facility at the time of the occurrence, in English.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ProductCarriedID_DisplayFre,Product carried (French),"The product carried by the pipeline/facility at the time of the occurrence, in French.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,TypeOfProductID,Type of product identification number,A system-generated number for the purposes of database administration.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,TypeOfProductID_DisplayEng,Type of product (English),"The type of product released as a result of the occurrence, in English.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,TypeOfProductID_DisplayFre,Type of product (French),"The type of product released as a result of the occurrence, in French.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,DetectionMethodID,Detection method identification number,A system-generated number for the purposes of database administration.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,DetectionMethodID_DisplayEng,Detection method (English),"How the occurrence was detected or discovered, or the person or entity that detected or discovered it, in English.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,DetectionMethodID_DisplayFre,Detection method (French),"How the occurrence was detected or discovered, or the person or entity that detected or discovered it, in French.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,LandUseTypeID,Land use type identification number,A system-generated number for the purposes of database administration.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,LandUseTypeID_DisplayEng,Land use type (English),"The general type of land use in the vicinity of the occurrence, in English.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,LandUseTypeID_DisplayFre,Land use type (French),"The general type of land use in the vicinity of the occurrence, in French.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,EntityInvolvedID,Entity involved identification number,A system-generated number for the purposes of database administration.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,EntityInvolvedID_DisplayEng,Entity involved (English),"The entity involved in the activity that affected the structural integrity of the pipeline, in English.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,EntityInvolvedID_DisplayFre,Entity involved (French),"The entity involved in the activity that affected the structural integrity of the pipeline, in French.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,HazardTypeID,Hazard type identification number,A system-generated number for the purposes of database administration.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,HazardTypeId_DisplayEng,Hazard type (English),"The type of hazard, in English. ",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,HazardTypeId_DisplayFre,Hazard type (French),"The type of hazard, in French.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ActivityAuthorizedID,Activity authorized identification number,A system-generated number for the purposes of database administration.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ActivityAuthorizedID_DisplayEng,Activity authorized (English),"Indicates whether the activity was authorized, in English.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ActivityAuthorizedID_DisplayFre,Activity authorized (French),"Indicates whether the activity was authorized, in French.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ThreatToPipelineID,Threat to pipeline identification number,A system-generated number for the purposes of database administration.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ThreatToPipelineID_DisplayEng,Threat to pipeline (English),"The type of threat to the structural integrity of the pipeline, in English.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ThreatToPipelineID_DisplayFre,Threat to pipeline (French),"The type of threat to the structural integrity of the pipeline, in French.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,EntryDate,Entry date,The date on which the occurrence was entered into the TSB database.,datetime,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,DailyReleasedDate,Daily released date,The date on which the initial occurrence details were released to the occurrence notification log.,datetime,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ComponentDetails,Component details,Additional details or a short description of the pipeline equipment or component affected (when applicable).,nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,NoEvacuated,Number evacuated,The total number of persons evacuated as a result of the occurrence (when applicable).,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,QuantityLost,Quantity lost,"The quantity of product released (when applicable), measured in cubic metres.",decimal,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,QuantityRecovered,Quantity recovered,"The quantity of product recovered (when applicable), measured in cubic metres. ",decimal,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,OccSummary,Occurrence summary,"A brief description of the occurrence, in the language in which it was received.",nvarchar,-1,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,OutOfServiceHours,Out of service (hours),"The length of time, in hours, for which the operation of the pipeline was interrupted.",decimal,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,LocationKmPost,Location kilometre post,The kilometre post of the occurrence location (when applicable).,nvarchar,50,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,PipelineDiameter,Pipeline diameter,"The nominal pipe size, in inches.",decimal,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,SafetyCommunicationRefNo,Safety communication reference number,The reference numbers of any safety communications related to the occurrence that may have been issued by the TSB.,nvarchar,50,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ReleasedFromLinePipeBodyInd,Released from line pipe body,Indicates whether product was released from the line pipe body.,bit,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,FatalSeriousInjuriesInd,Fatal/serious injuries,Indicates whether the occurrence resulted in any fatal or serious injuries.,bit,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,DamageToThirdPartyInd,Damage to third-party properties,Indicates whether property other than that owned by the pipeline operator was damaged as a result of the occurrence.,bit,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,FireInd,Fire/ignition,Indicates whether there was fire or ignition.,bit,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ExplosionInd,Explosion,Indicates whether there was an explosion.,bit,NULL,,,,,,,,,,,,,,,,,,,,,,,
