Incident Number,Province,Incident type,Incident Types,Emergency Level,Reported Date,Discovered Date and Time,Regulation,Status,Company,Latitude,Longitude,Facility Name,Pipeline or Facility Type,Pipeline Name,Pipeline length (km),Pipeline/Equipment Involved?,Equipment Inspected?,No maintenance done on this equipment or component,Substance,Rupture,Released substance type,Release Type,Released volume (m3),Substance carried,Why it Happened,Significant,Activity being performed at time of incident,Workdays lost,Number of fatalities,Number of individuals injured,Number of people evacuated
INC2021-001,New Brunswick,Release of Substance,Release of Substance,Not Emergency,1/4/2021,1/3/2021 6:18,PPR,Initially Submitted,Twin Rivers Paper Company Inc.,47.36249,-68.32499,,Transmission,Groundwood Stock Line,1.923276,Yes,No,No,Produced Water,Yes,Produced Water,Miscellaneous,21.58,"Effluent (By-products), Mechanical Pulp Slurry",To be determined,No,Operation,,,,0
INC2020-139,Alberta,Serious Injury (CER or TSB),Serious Injury (CER or TSB),Not Emergency,12/30/2020,12/9/2020 6:30,OPR,Initially Submitted,Enbridge Pipelines Inc.,53.54740268,-113.3557137,EDMONTON TERMINAL,Transmission,Unknown,0.6208452,No,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,To be determined,Yes,Operation,1,,1,0
INC2020-138,British Columbia,Serious Injury (CER or TSB),Serious Injury (CER or TSB),Not Emergency,12/15/2020,12/15/2020 3:20,OPR,Initially Submitted,Trans Mountain Pipeline ULC,49.26848937,-122.931342,BURNABY,Gathering,Trans Mountain Expansion Project,946.1592,No,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,To be determined,Yes,Construction,,,1,0
INC2020-133,Quebec,Fire,Fire,Not Emergency,11/25/2020,11/24/2020 10:00,OPR/PPR,Initially Submitted,Trans Québec and Maritimes Pipeline Inc.,45.03339107,-71.50002623,EAST HEREFORD,Transmission,Mainline - Loop,3.740811,Yes,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,To be determined,No,Operation,,,,0
INC2020-127,Alberta,Release of Substance,Release of Substance,Not Emergency,11/17/2020,11/9/2020 11:56,OPR,Initially Submitted,NOVA Gas Transmission Ltd.,56.48610421,-114.117508,WOODENHOUSE,Transmission,Peerless Lake Lateral (Vandersteene Lake Section) - Nps 16,40.29355,Yes,No,No,Lube Oil,No,Lube Oil,Liquid,11,Natural Gas,To be determined,No,Operation,,,,0
INC2020-125,Ontario,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,11/13/2020,11/12/2020 2:24,OPR,Initially Submitted,TransCanada PipeLines Limited,46.875161,-79.815636,,Transmission,Line 100-1,2595.725,Yes,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,To be determined,No,Operation,,,,0
INC2020-124,British Columbia,Fire,Fire,Not Emergency,11/10/2020,11/10/2020 2:30,OPR,Submitted,Trans Mountain Pipeline ULC,49.26848937,-122.931342,BURNABY,Gathering,Suncor To Burnaby Terminal - Nps 20,4.607408,No,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,Maintenance,No,Construction,,,,0
INC2020-123,Alberta,Fire,Fire,Not Emergency,11/7/2020,11/6/2020 5:30,OPR,Initially Submitted,NOVA Gas Transmission Ltd.,56.48610421,-114.117508,WOODENHOUSE,Transmission,Peerless Lake Lateral (Vandersteene Lake Section) - Nps 16,40.29355,Yes,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,To be determined,No,Operation,,,,0
INC2020-122,Ontario,Fire,Fire,Not Emergency,11/5/2020,10/30/2020 10:00,OPR,Initially Submitted,Enbridge Pipelines Inc.,43.32856593,-80.09097967,WESTOVER,Transmission,Line 11,80.77962,No,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,To be determined,No,Operation,,,,0
INC2020-119,British Columbia,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,11/1/2020,10/31/2020 3:00,OPR,Initially Submitted,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",50.85966001,-120.9615197,,Transmission,"Spectra - 36 Loop""",1105.137,Yes,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,To be determined,No,Operation,,,,0
