Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province (E),Company,Status,Latitude,Longitude,Approximate Volume Released (m³),Substance (E),Release Type,Significant,Year,Occurrence Date and Time,Discovered Date and Time,Detailed what happened,What happened category,Detailed why it happened,Why it happened category,Duration of interruption of pipeline operations,Pipeline or Facility Type,Activity being performed at time of incident,How the incident was discovered,Closed Date,Pipeline or facility equipment involved,Rupture (E),Incident type,Released substance type,Released volume (m3),Pipe body release,Residual effects on the environment,Source of Explosion,Source of Fire,Activity at time of fatality,Number of fatalities,Type of Injury,Number of individuals injured,Workdays lost,Work restricted by injury,Conditions that resulted in the operation beyond  limits,Conditions that resulted in adverse effects on the environment,Number of people evacuated,Regulation,Pipeline Name,Pipeline outside diameter (NPS),Pipeline length (km),Substance carried,Facility Name,Facility Type,Facility latitude,Facility longitude,Country,Affects Company Property,Off Company Property,Affects Pipeline right-of-way,Affects off Pipeline right-of-way,Land Use,Population Density,Kilometre post,Emergency Level,Investigation Type,Was NEB Staff Deployed,Related NEB event number,Equipment or component involved,Design standard,Nominal pipe size,Material,Material grade,Schedule,Design wall thickness (mm),Custom design wall thickness (mm),Actual wall thickness (mm),Licensed maximum operating pressure (kPa),Restricted operating pressure (kPa),Actual operating pressure at time of failure (kPa),Designed depth of cover (m),Actual depth of cover (m),Year of manufacture,Year of installation,Year when put into service,Most recent cathodic protection reading at incident site (mV vs. Cu/CuSO4),Weld type ,Seam type,Seam joining method,Seam clock position,Coating location,Coating type,Coating condition,Application method,Year when the coating was applied,Insulation installed,Repair type,Repair date,Equipment or component has never been inspected,Most recent inspection date for the failed equipment or component,Type of most recent inspection,Most recent inspection part of the routine inspection program,No maintenance done on this equipment or component,Date of the most recent maintenance work for the failed equipment or component,Most recent maintenance Type,Most recent maintenance work part of the routine maintenance program
INC2020-094,Operation Beyond Design Limits,9/4/2020,N/A,Ontario,TransCanada PipeLines Limited,Initially Submitted,43.343821,-79.854133,Not Applicable,Not Applicable,Not Applicable,No,2020,8/23/2020 10:00,8/23/2020 10:00,"Damage or deterioration mechanism, Structural Degradation, Corrosion Fatigue",Defect and Deterioration,"External Interference, Third Party Actions",To be determined,No pipeline interruption,Transmission,Operation,Employee / Contractor (Onsite),,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Exposure in a Waterbody,,0,OPR,Line 200-1,508,104.8390755,Natural Gas,,Meter,,,Canada,Yes,No,No,No,Forests,10 or fewer dwelling units,,Not Emergency,Inactive Investigation Level in Error,No,DTP2020-009,"Pipeline, Pipe, Body",Installed Dec.31 1953 ,NPS 20,Carbon Steel,,,,,,,,,,,,1953,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2020-091,Fire,8/31/2020,Burnaby ,British Columbia,Trans Mountain Pipeline ULC,Submitted,49.26848937,-122.931342,Not Applicable,Not Applicable,Not Applicable,No,2020,8/31/2020 2:05,8/31/2020 2:05,"Damage or deterioration mechanism, External Interference, Company Contractor;Substandard Acts, Failure to follow procedure or policy or practice;Substandard Acts, Failure to identify hazard or risk","External Interference, Incorrect Operation","Personal factors, Lack of knowledge, Lack of situational awareness;External Interference, Third Party Actions",Human Factors,No pipeline interruption,Transmission,Construction,Employee / Contractor (Onsite),,No,No,Fire,,,,No,,Welding or Cutting,,,,,,,,,0,OPR,TRANS MOUNTAIN EXPANSION PROJECT,"762.00000000, 914.00000000",946.1591548,Crude Oil,BURNABY,,49.26848937,-122.931342,Canada,No,No,No,No,Barren Land,11 to 45 dwelling units,,Not Emergency,Inactive Investigation Level in Error,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2020-089,Operation Beyond Design Limits,8/25/2020,Klotz Lake,Ontario,TransCanada PipeLines Limited,Initially Submitted,49.797622,-85.80746077,Not Applicable,Not Applicable,Not Applicable,No,2020,,8/25/2020 12:00,,To be determined,,To be determined,No pipeline interruption,Transmission,Operation,Employee / Contractor (Onsite),,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Exposure in a Waterbody,,0,OPR,LINE 100-1,"508.00000000, 762.00000000, 863.60000000",2595.724534,Natural Gas,,,,,Canada,No,Yes,Yes,No,Forests,10 or fewer dwelling units,MLV 84 +3.5,Not Emergency,Inactive Investigation Level in Error,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2020-088,Fire,8/19/2020,Oyen,Alberta,TransCanada Keystone Pipeline GP Ltd.,Initially Submitted,51.68001,-110.545265,Not Applicable,Not Applicable,Not Applicable,No,2020,8/19/2020 12:30,8/19/2020 12:30,,To be determined,,To be determined,No pipeline interruption,Transmission,Construction,Employee / Contractor (Onsite),,No,No,Fire,,,,No,,Equipment & Electrical,,,,,,,,,0,OPR,Keystone XL Pipeline,914,518.2193484,Crude Oil,,,,,Canada,No,Yes,Yes,No,Tundra / Native Prairie / Parks,10 or fewer dwelling units,KP 28+100,Not Emergency,Inactive Investigation Level in Error,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2020-087,Fire,8/17/2020,Kamloops,British Columbia,Trans Mountain Pipeline ULC,Submitted,50.66260932,-120.4141634,Not Applicable,Not Applicable,Not Applicable,No,2020,8/17/2020 1:00,8/17/2020 1:00,"Damage or deterioration mechanism, External Interference, Third Party;Substandard Conditions, Weather Related, Temperature Extremes;Substandard Acts, Failure to check or monitor","External Interference, Incorrect Operation","Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;External Interference, Natural or Environmental Forces","Maintenance, Natural or Environmental Forces",No pipeline interruption,Transmission,Construction,Employee / Contractor (Onsite),,No,No,Fire,,,,No,,Equipment & Electrical,,,,,,,,,0,OPR,TRANS MOUNTAIN EXPANSION PROJECT,"762.00000000, 914.00000000",946.1591548,Crude Oil,KAMLOOPS,,50.66260932,-120.4141634,Canada,Yes,No,Yes,No,Shrub Land,10 or fewer dwelling units,846.03,Not Emergency,Inactive Investigation Level in Error,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2020-086,Operation Beyond Design Limits,8/14/2020,"Merritt is the nearest location, but is over 60km away.",British Columbia,Trans Mountain Pipeline ULC,Initially Submitted,50.48034,-120.37324,Not Applicable,Not Applicable,Not Applicable,No,2020,,8/14/2020 11:10,,To be determined,,To be determined,No pipeline interruption,Transmission,Maintenance,Inspection Site Visit,,No,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Exposure in a Waterbody,,0,OPR,Mainline,610,1596.893888,"Crude Oil, Crude Oil Sour Light, Crude Oil Sweet Heavy, Crude Oil Sweet Light",,,,,Canada,Yes,No,Yes,No,Water / Wetlands,10 or fewer dwelling units,,Not Emergency,Inactive Investigation Level in Error,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2020-085,Operation Beyond Design Limits,8/14/2020,Fort Saskatchewan,Alberta,NOVA Gas Transmission Ltd.,Initially Submitted,54.584424,-114.076803,Not Applicable,Not Applicable,Not Applicable,No,2020,,8/14/2020 12:00,,To be determined,,To be determined,No pipeline interruption,Transmission,Operation,Employee / Contractor (Onsite),,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Exposure on Land,,0,OPR,REDWATER LATERAL - NPS 10,273.1,145.4215609,Natural Gas,,,,,Canada,No,No,Yes,No,Agricultural Cropland,10 or fewer dwelling units,N/A,Not Emergency,Inactive Investigation Level in Error,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2020-084,Operation Beyond Design Limits,8/12/2020,Nanticoke,Ontario,Trans-Northern Pipelines Inc.,Initially Submitted,42.84112307,-80.05650685,Not Applicable,Not Applicable,Not Applicable,No,2020,8/12/2020 5:09,8/12/2020 5:09,,To be determined,,To be determined,Short-term interruption,Transmission,Operation,SCADA,,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Overpressure - Maximum Operating Pressure,,0,OPR,Nanticoke Lateral,406.4,60.5070309,"Refined Products-Aviation, Refined Products-Distillate, Refined Products-Gasoline",NANTICOKE STATION,,42.84112307,-80.05650685,Canada,Yes,No,No,No,Developed Land - Industrial,10 or fewer dwelling units,,Not Emergency,Inactive Investigation Level in Error,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2020-083,Operation Beyond Design Limits,8/8/2020,"Rosedale, BC",British Columbia,Trans Mountain Pipeline ULC,Initially Submitted,49.2174,-121.6916,Not Applicable,Not Applicable,Not Applicable,No,2020,,8/7/2020 9:25,,To be determined,,To be determined,No pipeline interruption,Transmission,Maintenance,Inspection Site Visit,,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Exposure in a Waterbody,,0,OPR,Mainline,610,1596.893888,"Crude Oil, Crude Oil Sour Light, Crude Oil Sweet Heavy, Crude Oil Sweet Light",,,,,Canada,Yes,No,Yes,No,Water / Wetlands,10 or fewer dwelling units,1042,Not Emergency,Inactive Investigation Level in Error,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2020-082,Operation Beyond Design Limits,8/8/2020,Thornloe ,Ontario,TransCanada PipeLines Limited,Initially Submitted,47.63441,-79.78667,Not Applicable,Not Applicable,Not Applicable,No,2020,,8/8/2020 11:00,,To be determined,,To be determined,No pipeline interruption,Transmission,Operation,Landowner,,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Exposure in a Waterbody,,0,OPR,LINE 100-1,"508.00000000, 762.00000000, 863.60000000",2595.724534,Natural Gas,,,,,Canada,No,No,Yes,No,Agricultural Cropland,10 or fewer dwelling units,MLV 109 + 0.509,Not Emergency,Inactive Investigation Level in Error,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
