OccNo,OccClass,OccType,OccDate,OccTime,Province,Location,NearestLocationLongitude,NearestLocationLatitude,RegionOcc,RegionResponsible,PipelineOperator,FacilityName,FacilityType,PipelineName,PipelineType,ComponentAffected,ProductCarried,TypeOfProduct,DetectionMethod,LandUseType,EntityInvolved,HazardType,ThreatToPipeline,QuantityLost,QuantityRecovered,OccSummary,Fire,Explosion,ProductReleasedIndicator,ProductReleased,InterruptionOfPipelineOperations,Rupture,OperatedBeyondLimits,ProductLeftCoPropertyROW,TerrainEnvironmentalHazard,TSBDeployed,SignificantEnvironmentalImpact,ReportedDate,ReportedTime,TotalSeriousInjuries,TotalFatalInjuries
P00H0004,5,Incident,1/13/2000,09:00:00,British Columbia,Fort St. John,-120.85,56.25,Head Office,HEAD OFFICE,Westcoast Energy Inc. (Dba Spectra Energy Transmission),Booster Station 21 ,Compressor Station,0,0,0,Other,OTHER,Employee / Contractor (Onsite),Station Property,0,0,0,2.0,0.0,AN UNDERGROUND STORAGE TANK CONTAINING WASTE OIL FROM THE COMPRESSOR UNITS OVERFLOWED. THE TANK DID NOT SIGNAL A HIGH LEVEL SITUATION AS MORE OIL BEGAN TO DRAIN INTO IT AND THE TANK OVERFLOWED.,False,False,True,Other,False,0,0,0,0,False,False,1/13/2000,09:00:00,0,0
P00H0003,5,Accident,1/14/2000,17:15:00,Alberta,Edmonton,-113.46666667,53.55,Head Office,HEAD OFFICE,Trans Mountain Pipeline Ulc,Edmonton Terminal,Terminal,0,0,0,Crude Oil,LVP,SCADA,Station Property,0,0,0,0.0,0.0,A CRACK IN A 2 INCH RECYCLING LINE RESULTED IN A LIGHT SPRAY OF CRUDE OIL WITHIN THE PUMP ROOM. SPILT CRUDE OIL WAS COLLECTED IN A SUMP WITHIN THE PUMP ROOM. THE PUMP UNIT HAS BEEN SHUT DOWN AND REPAIRS WERE MADE.,False,False,True,Crude Oil,False,0,0,0,0,False,False,1/14/2000,17:15:00,0,0
P00H0002,5,Incident,1/1/2000,01:13:00,Northwest Territories,Norman Wells,-126.82916667,65.28194444,Head Office,HEAD OFFICE,Enbridge Pipelines (Nw) Ltd.,Norman Wells Terminal,Terminal,0,0,0,Crude Oil,LVP,Employee / Contractor (Onsite),Station Property,0,0,0,3.0,0.0,THE SUMP OVERFLOWED DUE TO AN OVERFLOW PROTECTION SWITCH FAILURE.  THE AREA AFFECTED MEASURED 30 FEET BY 100 FEET. SIDE STREAM INJECTION INTO THE NORMAL WELLS PIPELINE WAS CANCELLED UNTIL REPAIRS TO THE SWITCH WERE COMPLETED.,False,False,True,Crude Oil,False,0,0,0,0,False,False,1/1/2000,01:13:00,0,0
P00H0001,5,Incident,1/5/2000,11:15:00,Quebec,Montréal,-73.6,45.5,Head Office,HEAD OFFICE,Montreal Pipe Line Ltd.,Montreal-East Terminal,Terminal,0,0,0,Crude Oil,LVP,Employee / Contractor (Onsite),Station Property,0,0,0,0.0,0.0,DURING ROUTINE INSPECTION MONTREAL PIPELINE PERSONNEL FOUND CRUDE OIL LEAKING THROUGH A PAIR OF FLANGES LOCATED ON A PUMP LOOP. THE PUMP WAS STOPPED AND THE GASKET CHANGED.,False,False,True,Crude Oil,False,0,0,0,0,False,False,1/5/2000,11:15:00,0,0
P00H0005,5,Accident,1/23/2000,15:00:00,British Columbia,Kamloops,-120.31666667,50.66666667,Head Office,HEAD OFFICE,Trans Mountain Pipeline Ulc,0,0,Mainline,Transmission Line,0,Refined Products,LVP,Employee / Contractor (Onsite),,0,0,0,1.0,0.0,DURING NORMAL OPERATIONS THE STRAINER ON A 3/4 INCH REFINED PRODUCTS TAKE-OFF LINE FOR THE PETRO CANADA KAMLOOPS FACILITIES RUPTURED ALLOWING APPROXIMATELY 1 CUBIC METRE OF REFINED PETROLEUM TO SPILL ONTO THE SURROUNDING GRAVEL BED CONTAMINATING THE AREA. THE LINE WAS IMMEDIATELY SHUT DOWN AND REPAIRS INITIATED. NO INJURIES REPORTED. CONTAMINATED AREA IS BEING CLEANED UP.,False,False,True,Refined Products,0,0,0,0,0,False,False,1/23/2000,15:00:00,0,0
P00H0011,5,Incident,2/21/2000,16:00:00,Saskatchewan,Regina,-104.61666667,50.45,Head Office,HEAD OFFICE,Transcanada Pipelines Ltd.,0,0,Line 100-2,Transmission Line,0,Natural Gas,GAS,Employee / Contractor (Onsite),Marginal Land,0,0,0,0.0,111.0,THE POWER GAS PRESSURE REGULATOR ON THE LINE 100-2 : LINE 100-3 DOWNSTREAM TIEOVER VALVE HYDRAULIC OPERATOR WAS LEAKING AND RELEASED A NEGLIGIBLE AMOUNT OF NATURAL GAS.  THE REGULATOR WAS FROZEN BECAUSE OF A LEAK IN THE LOW-PRESSURE SHUTOFF DEVICE.,False,False,True,Natural Gas,False,0,0,0,0,False,False,2/14/2000,16:45:00,0,0
P00H0008,5,Accident,2/3/2000,23:45:00,Ontario,Windsor,-83.01666667,42.3,Head Office,HEAD OFFICE,Amoco Canada Petroleum Company Ltd.,Windsor Storage And Terminalling Facilities,Storage Facility,0,0,0,Liquefied Petroleum Gas,HVP,SCADA,Station Property,0,0,0,4.0,0.0,A BRINE STRING INTO THE CAVERN WAS SHEARED OFF BELOW GROUND LEVEL POSSIBLY DUE TO THE COLLAPSE OF A SHALE LAYER.  THE RELEASE OF PROPANE THROUGH THE BRINE LINE ACTIVIATED A HIGH PRESSURE SHUT DOWN.  THE PROPANE THAT WAS RELEASED WAS FLARED AS PER DESIGN THROUGH THE FLARE AND BURN PIT.,False,False,True,Liquefied Petroleum Gas,False,0,0,0,0,False,False,2/3/2000,23:30:00,0,0
P00H0013,5,Incident,3/14/2000,13:30:00,British Columbia,Fort St. John,-120.85,56.25,Head Office,HEAD OFFICE,Westcoast Energy Inc. (Dba Spectra Energy Transmission),0,0,Montney,Gathering Line,0,Sour Gas,GAS,Employee / Contractor (Onsite),Agricultural Cropland,0,0,0,0.0,0.0,A LEAK ORIGINATED AT A WELD DEFECT.  THE LEAK WAS DETECTED WHEN THE PIPE HAD BEEN EXCAVATED TO ASSESS THE PIPE FOR CORROSION ANOMOLIES.,False,False,True,Sour Gas,True,0,0,0,0,False,False,3/14/2000,13:30:00,0,0
P00H0009,5,Incident,2/8/2000,16:15:00,Alberta,Hardisty,-111.3,52.66666667,Head Office,HEAD OFFICE,Express Pipeline Ltd.,Hardisty Pump Station,Pump Station,0,0,0,Crude Oil,LVP,Employee / Contractor (Onsite),Station Property,0,0,0,3.0,0.0,A TANK MIXER SEAL FAILED DUE TO IMCORRECT INSTALLATION OF A REPLACEMENT SEAL.  THE SECONDARY (BACK-UP) SEAL WAS NOT ENGAGED.  THE TECHNICIAN WHO REPLACED THE SEAL DID NOT HAVE THE EXPERIENCE OR TRAINING TO INSTALL THE SEAL.,False,False,True,Crude Oil,False,0,0,0,0,False,False,2/8/2000,16:05:00,0,0
P00H0016,5,Incident,4/5/2000,18:10:00,British Columbia,Fort St. John,-120.85,56.25,Head Office,HEAD OFFICE,Westcoast Energy Inc. (Dba Spectra Energy Transmission),Mcmahon Gas Plant,Gas Processing Plant,0,0,0,Other,OTHER,Employee / Contractor (Onsite),Station Property,0,0,0,0.0,0.0,DURING NORMAL OPERATIONS APPROX 200 LITRES OF A MIXTURE OF OILY WATER AND SLUDGE ESCAPED FROM STORAGE TANK #32.  AT THE PRESENT THE TANK IS BEING PUMPED OUT AND ENVIRONMENTAL CLEANUP OF THE AREA HAS BEEN INITIATED. NO INJURIES REPORTED,False,False,True,Other,0,0,0,0,0,False,False,0,0,0,0
